Basal;DAP;dif;abs;postos
1.12;1.15;-0.0299999999999998;0.0299999999999998;1
0.78;0.83;-0.0499999999999999;0.0499999999999999;2.5
0.87;0.82;0.05;0.05;2.5
1.06;1.12;-0.0600000000000001;0.0600000000000001;4
1.06;1.13;-0.0699999999999998;0.0699999999999998;5
0.95;0.86;0.09;0.09;6.5
0.98;1.07;-0.0900000000000001;0.0900000000000001;6.5
1.08;0.97;0.11;0.11;8
1.03;1.15;-0.12;0.12;9
0.85;0.98;-0.13;0.13;10
0.88;1.02;-0.14;0.14;11
1.1;1.25;-0.15;0.15;12.5
1.04;0.89;0.15;0.15;12.5
1.05;0.89;0.16;0.16;14
1.23;1.05;0.18;0.18;15
